,time,revenus,r/c,accept_ratio
642,642,26147,0.804,1.0
643,643,26147,0.804,1.0
644,644,26147,0.804,1.0
645,645,26147,0.804,1.0
646,646,26147,0.804,1.0
647,647,26147,0.804,1.0
648,648,26147,0.804,1.0
649,649,26147,0.804,1.0
650,650,26147,0.804,1.0
651,651,26147,0.804,1.0
652,652,26147,0.804,1.0
653,653,26147,0.804,1.0
654,654,26147,0.804,1.0
655,655,26147,0.804,1.0
656,656,26147,0.804,1.0
657,657,26147,0.804,1.0
658,658,26147,0.804,1.0
659,659,26147,0.804,1.0
660,660,26147,0.804,1.0
661,661,26147,0.804,1.0
662,662,27296,0.813,1.0
663,663,27296,0.813,1.0
664,664,27296,0.813,1.0
665,665,27296,0.813,1.0
666,666,27296,0.813,1.0
667,667,27296,0.813,1.0
668,668,27296,0.813,1.0
669,669,27296,0.813,1.0
670,670,27296,0.813,1.0
671,671,27296,0.813,1.0
672,672,27296,0.813,1.0
673,673,27296,0.813,1.0
674,674,27296,0.813,1.0
675,675,27296,0.813,1.0
676,676,27296,0.813,1.0
677,677,27296,0.813,1.0
678,678,27296,0.813,1.0
679,679,27296,0.813,1.0
680,680,27296,0.813,1.0
681,681,27669,0.815,1.0
682,682,27669,0.815,1.0
683,683,27669,0.815,1.0
684,684,27669,0.815,1.0
685,685,27669,0.815,1.0
686,686,27669,0.815,1.0
687,687,27669,0.815,1.0
688,688,27669,0.815,1.0
689,689,27669,0.815,1.0
690,690,27669,0.815,1.0
691,691,27669,0.815,1.0
692,692,27669,0.815,1.0
693,693,27669,0.815,1.0
694,694,27669,0.815,1.0
695,695,27669,0.815,1.0
696,696,27669,0.815,1.0
697,697,27669,0.815,1.0
698,698,27669,0.815,1.0
699,699,27669,0.815,1.0
700,700,27669,0.815,1.0
701,701,27669,0.815,1.0
702,702,29627,0.828,1.0
703,703,29627,0.828,1.0
704,704,29627,0.828,1.0
705,705,29627,0.828,1.0
706,706,29627,0.828,1.0
707,707,29627,0.828,1.0
708,708,29627,0.828,1.0
709,709,29627,0.828,1.0
710,710,29627,0.828,1.0
711,711,29627,0.828,1.0
712,712,29627,0.828,1.0
713,713,29627,0.828,1.0
714,714,29627,0.828,1.0
715,715,29627,0.828,1.0
716,716,29627,0.828,1.0
717,717,29627,0.828,1.0
718,718,29627,0.828,1.0
719,719,29627,0.828,1.0
720,720,29627,0.828,1.0
721,721,30307,0.829,1.0
722,722,30307,0.829,1.0
723,723,30307,0.829,1.0
724,724,30307,0.829,1.0
725,725,30307,0.829,1.0
726,726,30307,0.829,1.0
727,727,30307,0.829,1.0
728,728,30307,0.829,1.0
729,729,30307,0.829,1.0
730,730,30307,0.829,1.0
731,731,30307,0.829,1.0
732,732,30307,0.829,1.0
733,733,30307,0.829,1.0
734,734,30307,0.829,1.0
735,735,30307,0.829,1.0
736,736,30307,0.829,1.0
737,737,30307,0.829,1.0
738,738,30307,0.829,1.0
739,739,30307,0.829,1.0
740,740,30307,0.829,1.0
741,741,30307,0.829,1.0
742,742,30307,0.829,1.0
743,743,30307,0.829,1.0
744,744,30480,0.830,1.0
745,745,30480,0.830,1.0
746,746,30480,0.830,1.0
747,747,30480,0.830,1.0
748,748,30480,0.830,1.0
749,749,30480,0.830,1.0
750,750,30480,0.830,1.0
751,751,30480,0.830,1.0
752,752,30480,0.830,1.0
753,753,30480,0.830,1.0
754,754,30480,0.830,1.0
755,755,30480,0.830,1.0
756,756,31129,0.826,1.0
757,757,31129,0.826,1.0
758,758,31129,0.826,1.0
759,759,31129,0.826,1.0
760,760,31129,0.826,1.0
761,761,31129,0.826,1.0
762,762,31129,0.826,1.0
763,763,31129,0.826,1.0
764,764,31129,0.826,1.0
765,765,31129,0.826,1.0
766,766,31129,0.826,1.0
767,767,31129,0.826,1.0
768,768,31129,0.826,1.0
769,769,31129,0.826,1.0
770,770,31129,0.826,1.0
771,771,31129,0.826,1.0
772,772,31129,0.826,1.0
773,773,31129,0.826,1.0
774,774,31129,0.826,1.0
775,775,31129,0.826,1.0
776,776,31129,0.826,1.0
777,777,31129,0.826,1.0
778,778,31129,0.826,1.0
779,779,31129,0.826,1.0
780,780,31129,0.826,1.0
781,781,32921,0.829,1.0
782,782,32921,0.829,1.0
783,783,32921,0.829,1.0
784,784,32921,0.829,1.0
785,785,32921,0.829,1.0
786,786,32921,0.829,1.0
787,787,32921,0.829,1.0
788,788,32921,0.829,1.0
789,789,32921,0.829,1.0
790,790,32921,0.829,1.0
791,791,32921,0.829,1.0
792,792,32921,0.829,1.0
793,793,32921,0.829,1.0
794,794,32921,0.829,1.0
795,795,32921,0.829,1.0
796,796,32921,0.829,1.0
797,797,32921,0.829,1.0
798,798,32994,0.827,1.0
799,799,32994,0.827,1.0
800,800,32994,0.827,1.0
801,801,32994,0.827,1.0
802,802,32994,0.827,1.0
803,803,32994,0.827,1.0
804,804,32994,0.827,1.0
805,805,32994,0.827,1.0
806,806,32994,0.827,1.0
807,807,32994,0.827,1.0
808,808,32994,0.827,1.0
809,809,32994,0.827,1.0
810,810,32994,0.827,1.0
811,811,32994,0.827,1.0
812,812,32994,0.827,1.0
813,813,32994,0.827,1.0
814,814,32994,0.827,1.0
815,815,32994,0.827,1.0
816,816,33124,0.827,1.0
817,817,33124,0.827,1.0
818,818,33124,0.827,1.0
819,819,33124,0.827,1.0
820,820,33124,0.827,1.0
821,821,33124,0.827,1.0
822,822,33124,0.827,1.0
823,823,33124,0.827,1.0
824,824,33124,0.827,1.0
825,825,33124,0.827,1.0
826,826,33124,0.827,1.0
827,827,33124,0.827,1.0
828,828,33124,0.827,1.0
829,829,33124,0.827,1.0
830,830,33124,0.827,1.0
831,831,33124,0.827,1.0
832,832,33124,0.827,1.0
833,833,33124,0.827,1.0
834,834,33124,0.827,1.0
835,835,33124,0.827,1.0
836,836,33124,0.827,1.0
837,837,33124,0.827,1.0
838,838,33124,0.827,1.0
839,839,33124,0.827,1.0
840,840,33124,0.827,1.0
841,841,34481,0.835,1.0
842,842,34481,0.835,1.0
843,843,34481,0.835,1.0
844,844,34481,0.835,1.0
845,845,34481,0.835,1.0
846,846,34481,0.835,1.0
847,847,34481,0.835,1.0
848,848,34481,0.835,1.0
849,849,34481,0.835,1.0
850,850,34481,0.835,1.0
851,851,34481,0.835,1.0
852,852,34481,0.835,1.0
853,853,34481,0.835,1.0
854,854,34481,0.835,1.0
855,855,34481,0.835,1.0
856,856,34481,0.835,1.0
857,857,34481,0.835,1.0
858,858,34670,0.833,1.0
859,859,34670,0.833,1.0
860,860,34670,0.833,1.0
861,861,34670,0.833,1.0
862,862,34670,0.833,1.0
863,863,34670,0.833,1.0
864,864,34670,0.833,1.0
865,865,34670,0.833,1.0
866,866,34670,0.833,1.0
867,867,34670,0.833,1.0
868,868,34670,0.833,1.0
869,869,34670,0.833,1.0
870,870,34670,0.833,1.0
871,871,34670,0.833,1.0
872,872,34670,0.833,1.0
873,873,34670,0.833,1.0
874,874,34670,0.833,1.0
875,875,34670,0.833,1.0
876,876,34670,0.833,1.0
877,877,34670,0.833,1.0
878,878,34670,0.833,1.0
879,879,34670,0.833,1.0
880,880,34670,0.833,1.0
881,881,34670,0.833,0.9777777777777777
882,882,34670,0.833,0.9777777777777777
883,883,34670,0.833,0.9777777777777777
884,884,34670,0.833,0.9777777777777777
885,885,34670,0.833,0.9777777777777777
886,886,34670,0.833,0.9777777777777777
887,887,34670,0.833,0.9777777777777777
888,888,34670,0.833,0.9777777777777777
889,889,34670,0.833,0.9777777777777777
890,890,34670,0.833,0.9777777777777777
891,891,34670,0.833,0.9777777777777777
892,892,34670,0.833,0.9777777777777777
893,893,34670,0.833,0.9777777777777777
894,894,34670,0.833,0.9777777777777777
895,895,34670,0.833,0.9777777777777777
896,896,34670,0.833,0.9777777777777777
897,897,34670,0.833,0.9777777777777777
898,898,34670,0.833,0.9777777777777777
899,899,34670,0.833,0.9777777777777777
900,900,34670,0.833,0.9777777777777777
901,901,34670,0.833,0.9777777777777777
902,902,34670,0.833,0.9777777777777777
903,903,34670,0.833,0.9777777777777777
904,904,34670,0.833,0.9777777777777777
905,905,34670,0.833,0.9777777777777777
906,906,34670,0.833,0.9777777777777777
907,907,34670,0.833,0.9777777777777777
908,908,34670,0.833,0.9777777777777777
909,909,36332,0.834,0.9782608695652174
910,910,36332,0.834,0.9782608695652174
911,911,36332,0.834,0.9782608695652174
912,912,36332,0.834,0.9782608695652174
913,913,36332,0.834,0.9782608695652174
914,914,36332,0.834,0.9782608695652174
915,915,36332,0.834,0.9782608695652174
916,916,36332,0.834,0.9782608695652174
